"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15232","Client App login","","2026-06-03","passed","2026-06-03","","secludedCartProg.spec.js","",""
"","7996","@Webst Client App login","","2026-06-03","passed","2026-06-03","","E2EDynamicCart.spec.js","",""
